,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Nuevo acceso
354,2019,2,San Luis,81.789994425864,83.42579431438128
355,2019,2,Santa Cruz,28.846063055322123,29.422984316428565
356,2019,2,Santa Fe,67.42291993321949,68.77137833188388
357,2019,2,Santiago Del Estero,52.78997126317105,53.84577068843447
358,2019,2,Tierra Del Fuego,94.79803428023493,96.69399496583964
359,2019,2,Tucumán,40.13604621420884,40.93876713849302
360,2019,1,Buenos Aires,66.24255522736811,67.56740633191548
361,2019,1,Capital Federal,109.19616455883845,111.38008785001522
362,2019,1,Catamarca,32.190488956121285,32.83429873524371
363,2019,1,Chaco,32.635876579429485,33.28859411101808
364,2019,1,Chubut,42.99773633717796,43.85769106392152
365,2019,1,Córdoba,65.5173840768055,66.82773175834161
366,2019,1,Corrientes,35.13498688698812,35.83768662472789
367,2019,1,Entre Ríos,56.78815996169284,57.9239231609267
368,2019,1,Formosa,29.677694630431926,30.271248523040565
369,2019,1,Jujuy,46.40843874036665,47.33660751517398
370,2019,1,La Pampa,76.35457433780647,77.8816658245626
371,2019,1,La Rioja,50.184587883262736,51.188279640927995
372,2019,1,Mendoza,37.657164970282864,38.41030826968852
373,2019,1,Misiones,36.25716826552349,36.98231163083396
374,2019,1,Neuquén,58.87800433437489,60.05556442106239
375,2019,1,Río Negro,53.57164978100252,54.64308277662257
376,2019,1,Salta,40.09834441771615,40.90031130607047
377,2019,1,San Juan,31.833058053465464,32.46971921453478
378,2019,1,San Luis,67.3379373977716,68.68469614572703
379,2019,1,Santa Cruz,23.66765499676892,24.1410080967043
380,2019,1,Santa Fe,66.97409094791476,68.31357276687305
381,2019,1,Santiago Del Estero,37.519416746003905,38.26980508092399
382,2019,1,Tierra Del Fuego,93.37581922721242,95.24333561175666
383,2019,1,Tucumán,41.63074443134759,42.463359319974536
384,2018,4,Buenos Aires,64.60284663484316,65.89490356754003
385,2018,4,Capital Federal,108.27314997057414,110.43861296998563
386,2018,4,Catamarca,32.225346166025346,32.86985308934585
387,2018,4,Chaco,32.59096087632982,33.24278009385641
388,2018,4,Chubut,42.61093609604538,43.463154817966284
389,2018,4,Córdoba,65.08926459112368,66.39104988294615
390,2018,4,Corrientes,34.56627656869549,35.257602100069406
391,2018,4,Entre Ríos,54.37477348639939,55.46226895612738
392,2018,4,Formosa,29.73653915732,30.3312699404664
393,2018,4,Jujuy,46.53226639132679,47.46291171915333
394,2018,4,La Pampa,73.49404828314209,74.96392924880493
395,2018,4,La Rioja,50.347993917417234,51.35495379576558
396,2018,4,Mendoza,37.757783845911696,38.51293952282993
397,2018,4,Misiones,34.4507488777944,35.13976385535029
398,2018,4,Neuquén,59.06916926636779,60.250552651695145
399,2018,4,Río Negro,51.86140345426057,52.89863152334578
400,2018,4,Salta,39.801610069738146,40.59764227113291
401,2018,4,San Juan,31.89625207025579,32.53417711166091
402,2018,4,San Luis,67.55045369760039,68.9014627715524
403,2018,4,Santa Cruz,23.68919410065612,24.162977982669243
404,2018,4,Santa Fe,65.58706886191564,66.89881023915396
405,2018,4,Santiago Del Estero,37.40072595129344,38.14874047031931
406,2018,4,Tierra Del Fuego,93.59257086207943,95.46442227932101
407,2018,4,Tucumán,41.75796963877769,42.59312903155324
408,2018,3,Buenos Aires,64.44056759752046,65.72937894947087
409,2018,3,Capital Federal,108.44591411021922,110.61483239242361
