,Año,Trimestre,Provincia,Accesos por cada 100 hab
355,2019,2,Santa Cruz,8.584064828655885
356,2019,2,Santa Fe,21.201130485144205
357,2019,2,Santiago Del Estero,13.101581339388986
358,2019,2,Tierra Del Fuego,28.10756382159569
359,2019,2,Tucumán,9.942460440805863
360,2019,1,Buenos Aires,21.64173785141924
361,2019,1,Capital Federal,45.57918389943661
362,2019,1,Catamarca,8.188504627374574
363,2019,1,Chaco,8.722835003407456
364,2019,1,Chubut,13.180368061670734
365,2019,1,Córdoba,20.05952769269671
366,2019,1,Corrientes,9.25199213887151
367,2019,1,Entre Ríos,16.979402393290254
368,2019,1,Formosa,7.55368578631946
369,2019,1,Jujuy,11.867849761055307
370,2019,1,La Pampa,25.157516640472675
371,2019,1,La Rioja,13.359402478637785
372,2019,1,Mendoza,10.508862067173826
373,2019,1,Misiones,9.87579609120626
374,2019,1,Neuquén,17.526490396034294
375,2019,1,Río Negro,16.478122478195964
376,2019,1,Salta,9.711781014403453
377,2019,1,San Juan,8.108982017265918
378,2019,1,San Luis,19.271779401291518
379,2019,1,Santa Cruz,7.042691634453057
380,2019,1,Santa Fe,21.059894917387947
381,2019,1,Santiago Del Estero,9.311616280949599
382,2019,1,Tierra Del Fuego,27.684925791261847
383,2019,1,Tucumán,10.31263096739148
384,2018,4,Buenos Aires,21.058833823398523
385,2018,4,Capital Federal,45.24931394036689
386,2018,4,Catamarca,8.197333541624968
387,2018,4,Chaco,8.7108351925502
388,2018,4,Chubut,13.061729706052178
389,2018,4,Córdoba,19.92843117514227
390,2018,4,Corrientes,9.102210657080787
391,2018,4,Entre Ríos,16.257794035384702
392,2018,4,Formosa,7.568639138457005
393,2018,4,Jujuy,11.899484192418539
394,2018,4,La Pampa,24.215175627605007
395,2018,4,La Rioja,13.402859048246764
396,2018,4,Mendoza,10.536933969997644
397,2018,4,Misiones,9.38376401334208
398,2018,4,Neuquén,17.58336203291432
399,2018,4,Río Negro,15.952033444971306
400,2018,4,Salta,9.639884990122159
401,2018,4,San Juan,8.125067548299477
402,2018,4,San Luis,19.332549309229275
403,2018,4,Santa Cruz,7.049080016507051
404,2018,4,Santa Fe,20.62373640643868
405,2018,4,Santiago Del Estero,9.2821177795649
406,2018,4,Tierra Del Fuego,27.748785315817887
407,2018,4,Tucumán,10.344120436439566
408,2018,3,Buenos Aires,20.95908740104848
409,2018,3,Capital Federal,45.37709204560748
410,2018,3,Catamarca,8.373046550087581
411,2018,3,Chaco,8.628583509513742
412,2018,3,Chubut,17.28630822939319
413,2018,3,Córdoba,19.66915749676994
414,2018,3,Corrientes,9.018948170247882
415,2018,3,Entre Ríos,15.016208210741233
416,2018,3,Formosa,7.5279498103121085
417,2018,3,Jujuy,5.949165647225797
418,2018,3,La Pampa,23.64056278957734
419,2018,3,La Rioja,13.505484520192356
420,2018,3,Mendoza,10.601969231966759
421,2018,3,Misiones,8.74450949017475
422,2018,3,Neuquén,18.005451709791327
423,2018,3,Río Negro,15.546572458298687
424,2018,3,Salta,9.549341341721156
425,2018,3,San Juan,8.419357955569252
426,2018,3,San Luis,14.983359875657099
427,2018,3,Santa Cruz,9.738987459252597
428,2018,3,Santa Fe,19.939106982732063
429,2018,3,Santiago Del Estero,8.996517443513934
430,2018,3,Tierra Del Fuego,27.506021696216745
431,2018,3,Tucumán,10.325137534986972
432,2018,2,Buenos Aires,20.374582324435124
433,2018,2,Capital Federal,44.632577746788044
434,2018,2,Catamarca,8.35838388395506
435,2018,2,Chaco,8.353123614291734
436,2018,2,Chubut,16.830485129144066
437,2018,2,Córdoba,19.373198551696014
438,2018,2,Corrientes,8.903247385340823
439,2018,2,Entre Ríos,14.711648453505866
440,2018,2,Formosa,7.4919076165093035
441,2018,2,Jujuy,5.9923974768014165
442,2018,2,La Pampa,23.40701065826804
443,2018,2,La Rioja,13.570922884408905
444,2018,2,Mendoza,10.318226443150964
445,2018,2,Misiones,8.61598877251767
446,2018,2,Neuquén,17.931877810369247
447,2018,2,Río Negro,15.42558308937726
448,2018,2,Salta,9.673102808845783
449,2018,2,San Juan,8.392841711641646
450,2018,2,San Luis,4.336137508962927
451,2018,2,Santa Cruz,9.919588050940062
452,2018,2,Santa Fe,19.675591530682105
453,2018,2,Santiago Del Estero,8.750160589339375
454,2018,2,Tierra Del Fuego,27.162316515991055
455,2018,2,Tucumán,10.283671207148597
456,2018,1,Buenos Aires,20.27965291057949
457,2018,1,Capital Federal,44.562961320417855
458,2018,1,Catamarca,8.342098537275874
459,2018,1,Chaco,8.240328535251999
460,2018,1,Chubut,16.466326556340928
461,2018,1,Córdoba,19.447381073339752
462,2018,1,Corrientes,8.60133260210877
463,2018,1,Entre Ríos,14.555673456325385
464,2018,1,Formosa,5.4480098282582645
465,2018,1,Jujuy,5.912829505826147
466,2018,1,La Pampa,23.64124866231016
467,2018,1,La Rioja,13.694770063119927
468,2018,1,Mendoza,10.345843091967911
469,2018,1,Misiones,8.432278416607307
470,2018,1,Neuquén,18.31283869735193
471,2018,1,Río Negro,15.323567091543692
472,2018,1,Salta,9.633845443846392
473,2018,1,San Juan,8.306800710570991
474,2018,1,San Luis,4.335615022675048
475,2018,1,Santa Cruz,9.98473486255572
476,2018,1,Santa Fe,19.584682368757406
477,2018,1,Santiago Del Estero,8.683504190530646
478,2018,1,Tierra Del Fuego,19.33152333431171
479,2018,1,Tucumán,10.200177350055142
480,2017,4,Buenos Aires,18.61464924835486
481,2017,4,Capital Federal,51.6167209151056
482,2017,4,Catamarca,7.280600419229377
483,2017,4,Chaco,8.234501979468078
484,2017,4,Chubut,15.77581593080522
485,2017,4,Córdoba,19.390857786793124
486,2017,4,Corrientes,8.562263620309615
487,2017,4,Entre Ríos,14.317635180183578
488,2017,4,Formosa,5.414060072151437
489,2017,4,Jujuy,5.81583543877829
490,2017,4,La Pampa,23.409929773918797
491,2017,4,La Rioja,13.727965660359493
492,2017,4,Mendoza,9.300280994440511
493,2017,4,Misiones,8.482789477895514
